timestamp,utc_time,strategy,series,regime,clock_session,macro_blackout,pnl_ungated,pnl_gated,s8_allowed,s8_action,paired,adverse,note
1789971600,2026-09-21 06:20:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,-10.9632,-10.9632,True,TRADE_NORMAL,0,1,single-leg: Up naked 50sh -> 0.28 ($-10.96)
1789971900,2026-09-21 06:25:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789972200,2026-09-21 06:30:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,1.0,1.0,True,TRADE_NORMAL,1,0,pair 50sh +$1.00 | Down naked 0sh -> 0.49 ($+0.00)
1789972200,2026-09-21 06:30:00Z,S3_FEE_FARM,15m,ASIA,ASIA,False,1.0,1.0,True,TRADE_NORMAL,1,0,pair 50sh +$1.00
1789972500,2026-09-21 06:35:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,-22.8295,-22.8295,True,TRADE_NORMAL,1,1,pair 2sh +$0.04 | Up naked 48sh -> 0.02 ($-22.87)
1789972800,2026-09-21 06:40:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,-18.6328,-18.6328,True,TRADE_NORMAL,0,1,single-leg: Up naked 50sh -> 0.12 ($-18.63)
1789973100,2026-09-21 06:45:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789973100,2026-09-21 06:45:00Z,S3_FEE_FARM,15m,ASIA,ASIA,False,-0.8461,-0.8461,True,TRADE_NORMAL,0,1,single-leg: Down naked 2sh -> 0.03 ($-0.85)
1789973400,2026-09-21 06:50:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789973700,2026-09-21 06:55:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,0.6284,0.6284,True,TRADE_NORMAL,1,0,pair 31sh +$0.63 | Up naked 19sh -> 0.49 ($+0.00)
