label,start,settled,up_fill,dn_fill,up_fill_t,dn_fill_t,pair_sh,pair_pnl,leg_pnl,pnl,paired,exit_t,exit_p,adverse,flat,band_reject,note
5m,1790009400,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,29,
5m,1790009700,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,34,
5m,1790010000,Down,5.0,50.0,107s,84s,5.0,0.1,0.0,0.1,1,resolution | Down:105s,0.49,0,0,23,pair 5sh +$0.10 | Down naked 45sh -> 0.49 ($+0.00)
15m,1790010000,Down,50.0,38.62,192s,38s,38.62,0.7724,0.0,0.7724,1,resolution | Up:213s,0.49,0,0,2,pair 39sh +$0.77 | Up naked 11sh -> 0.49 ($+0.00)
5m,1790010300,Up,0.0,50.0,,31s,0.0,0.0,-21.4627,-21.4627,0,Down:180s*,0.07,1,0,22,single-leg: Down naked 50sh -> 0.07 ($-21.46)
5m,1790010600,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,18,
5m,1790010900,Down,50.0,0.0,33s,,0.0,0.0,0.0,0.0,0,Up:64s,0.49,0,0,12,single-leg: Up naked 50sh -> 0.49 ($+0.00)
15m,1790010900,Down,2.08,0.0,63s,,0.0,0.0,-0.9319,-0.9319,0,Up:540s*,0.04,1,0,25,single-leg: Up naked 2sh -> 0.04 ($-0.93)
5m,1790011200,Up,0.0,15.0,,63s,0.0,0.0,0.0,0.0,0,Down:142s,0.49,0,0,44,single-leg: Down naked 15sh -> 0.49 ($+0.00)
5m,1790011500,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,37,
5m,1790011800,Down,50.0,0.0,105s,,0.0,0.0,0.0,0.0,0,Up:180s,0.49,0,0,18,single-leg: Up naked 50sh -> 0.49 ($+0.00)
15m,1790011800,Down,50.0,50.0,55s,447s,50.0,1.0,0.0,1.0,1,resolution,,0,0,9,pair 50sh +$1.00
5m,1790012100,Up,0.0,50.0,,147s,0.0,0.0,-1.6228,-1.6228,0,Down:180s*,0.47,0,0,45,single-leg: Down naked 50sh -> 0.47 ($-1.62)
5m,1790012400,Down,0.0,50.0,,81s,0.0,0.0,0.0,0.0,0,Down:102s,0.49,0,0,15,single-leg: Down naked 50sh -> 0.49 ($+0.00)
5m,1790012700,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,30,
15m,1790012700,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,19,
5m,1790013000,Down,7.0,50.0,45s,36s,7.0,0.14,0.0,0.14,1,resolution | Down:57s,0.49,0,0,44,pair 7sh +$0.14 | Down naked 43sh -> 0.49 ($+0.00)
5m,1790013300,Up,22.22,25.71,69s,48s,22.22,0.4444,0.0,0.4444,1,resolution | Down:69s,0.49,0,0,33,pair 22sh +$0.44 | Down naked 3sh -> 0.49 ($+0.00)
5m,1790013600,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,27,
15m,1790013600,Up,1.59,12.73,55s,240s,1.59,0.0318,-3.0881,-3.0563,1,resolution | Down:540s*,0.22,1,0,11,pair 2sh +$0.03 | Down naked 11sh -> 0.22 ($-3.09)
5m,1790013900,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,8,
5m,1790014200,Up,0.0,2.77,,54s,0.0,0.0,-1.006,-1.006,0,Down:180s*,0.13,1,0,8,single-leg: Down naked 3sh -> 0.13 ($-1.01)
5m,1790014500,Up,0.0,50.0,,30s,0.0,0.0,-12.4149,-12.4149,0,Down:180s*,0.26,1,0,22,single-leg: Down naked 50sh -> 0.26 ($-12.41)
15m,1790014500,Down,0.0,50.0,,48s,0.0,0.0,0.0,0.0,0,Down:354s,0.49,0,0,11,single-leg: Down naked 50sh -> 0.49 ($+0.00)
5m,1790014800,Down,50.0,0.0,64s,,0.0,0.0,0.0,0.0,0,Up:84s,0.49,0,0,42,single-leg: Up naked 50sh -> 0.49 ($+0.00)
5m,1790015100,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,39,
5m,1790015400,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,34,
15m,1790015400,Up,47.74,5.0,264s,408s,5.0,0.1,0.0,0.1,1,resolution | Up:300s,0.49,0,0,26,pair 5sh +$0.10 | Up naked 43sh -> 0.49 ($+0.00)
5m,1790015700,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,62,
