ts,side,usd,buy,sell,n
1789979065.331,BUY,1502188.18,1502188.18,0,23
1789979570.76,BUY,1655009.75,1655009.75,0,60
1789979791.591,BUY,1721129.86,1721129.86,0,49
1789979891.079,BUY,5529334.57,5529334.57,0,81
1789979935.566,BUY,35230231.06,35230231.06,46778.55,538
1789982761.175,BUY,2416884.12,2416884.12,0,90
1789983178.15,BUY,4128083.68,4128083.68,0,68
1789983318.162,BUY,2078999.19,2078999.19,2.5,171
1789983398.836,BUY,2195879.34,2195879.34,0,64
1789983492.759,BUY,1524580.6,1524580.6,0,86
1789992514.795,BUY,1811532.48,1811532.48,0,80
1789993271.066,BUY,1512127.87,1512127.87,0,63
1789998654.042,BUY,2384549.24,2384549.24,0,4
1789998730.191,BUY,1783553.27,1783553.27,0,49
1790001207.089,BUY,2161318.62,2161318.62,0,113
1790001273.555,BUY,1512221.25,1512221.25,0,77
1790002219.566,BUY,1520764.82,1520764.82,0,40
1790003279.114,BUY,7314009.11,7314009.11,0,96
1790018414.21,BUY,1760747.56,1760747.56,0,57
1790019191.058,BUY,1671690.04,1671690.04,0,123
1790019272.566,BUY,1577985.25,1577985.25,0,55
1790021929.133,BUY,1591260.3,1591260.3,0,71
1790022393.067,BUY,1598873.94,1598873.94,0,70
1790039113.127,SELL,2800322.0,0,2800322.0,77
1790039941.153,SELL,1694317.84,0,1694317.84,112
1790055078.064,SELL,1886450.6099999999,0,1886450.6099999999,9
1790118335.197,BUY,3306462.92,3306462.92,0,3
1790137421.118,BUY,1851883.16,1851883.16,0,152
1790142659.175,SELL,1638223.02,0,1638223.02,15
1790149474.989,SELL,1509975.34,0,1509975.34,107
1790153396.078,SELL,1506019.56,0,1506019.56,50
1790162961.36,SELL,1558111.3599999999,0,1558111.3599999999,115
1790165849.389,SELL,1888205.24,0,1888205.24,39
1790165914.206,SELL,1506415.94,0,1506415.94,20
1790172691.125,SELL,2108268.06,0,2108268.06,35
1790172698.155,SELL,2350495.71,0,2350495.71,78
1790172790.078,SELL,1554134.77,10519.65,1554134.77,50
1790173036.217,SELL,1947300.94,0,1947300.94,137
1790173205.007,SELL,1528393.18,0,1528393.18,49
1790173344.14,SELL,1865948.67,0,1865948.67,59
1790173779.069,SELL,1573991.2,0,1573991.2,57
1790173872.176,SELL,1899920.8900000001,25849.25,1899920.8900000001,50
1790179287.453,SELL,1757532.84,0,1757532.84,50
1790179347.565,SELL,2370758.57,0,2370758.57,88
1790239791.149,SELL,1779427.49,0,1779427.49,62
1790242225.567,SELL,1520432.93,0,1520432.93,123
1790242347.896,SELL,1975932.5699999998,0,1975932.5699999998,4
1790242465.96,SELL,1508626.96,0,1508626.96,24
1790260093.275,BUY,1562479.55,1562479.55,0,98
1790261600.157,SELL,1569042.8199999998,0,1569042.8199999998,31
1790334423.978,BUY,1599986.1099999999,1599986.1099999999,0,114
1790338554.104,SELL,1524019.3,0,1524019.3,23
1790338673.055,SELL,2410991.41,0,2410991.41,8
1790344015.066,SELL,1547222.28,0,1547222.28,46
1790345065.121,SELL,2368442.48,0,2368442.48,21
